IDMascota,Timestamp,Raza,Edad,HR (bpm),Actividad (steps),GPS_Lat,GPS_Lon,Temperatura,Emoción
691,2025-06-12 01:31:00,Golden Retriever,8,86,54,55.39,-57.25,26.1ºC,Enfadado
692,2025-06-12 01:32:00,Collie,2,176,136,69.46,109.97,24.5ºC,Enfadado
693,2025-06-12 01:33:00,Boxer,8,61,125,56.89,-58.1,20.8ºC,Alerta
694,2025-06-12 01:34:00,Siberiano,13,152,106,-86.59,-160.04,24.9ºC,Ansiedad
695,2025-06-12 01:35:00,Cavalier King Charles,13,97,176,42.47,19.51,27.9ºC,Alerta
696,2025-06-12 01:36:00,American Shorthair,1,62,78,-52.49,31.64,18.3ºC,Relajación
697,2025-06-12 01:37:00,Gran Danés,6,75,136,-66.07,156.43,25.6ºC,Tristeza
698,2025-06-12 01:38:00,Border Collie,19,153,190,24.93,81.38,22.2ºC,Ansiedad
699,2025-06-12 01:39:00,Yorkshire Terrier,16,99,95,-32.45,150.4,21.5ºC,Ansiedad
700,2025-06-12 01:40:00,Whippet,8,61,165,-79.72,147.0,22.7ºC,Tristeza
701,2025-06-12 01:41:00,Pug,1,140,161,-65.23,37.65,22.1ºC,Ansiedad
702,2025-06-12 01:42:00,Weimaraner,16,100,94,-89.83,9.99,28.0ºC,Tristeza
703,2025-06-12 01:43:00,Weimaraner,9,71,194,72.58,20.68,21.3ºC,Ansiedad
704,2025-06-12 01:44:00,Whippet,13,94,153,-85.57,172.2,26.8ºC,Enfadado
705,2025-06-12 01:45:00,Shiba Inu,11,166,134,-52.3,98.34,19.1ºC,Miedo
706,2025-06-12 01:46:00,British Shorthair,13,124,183,-15.07,-141.74,29.4ºC,Tranquilo
707,2025-06-12 01:47:00,British Shorthair,10,114,157,-25.82,100.23,25.5ºC,Tranquilo
708,2025-06-12 01:48:00,Setter Irlandés,4,104,67,74.11,-118.61,26.5ºC,Alerta
709,2025-06-12 01:49:00,Golden Retriever,6,138,143,-82.75,-18.95,21.6ºC,Enfadado
710,2025-06-12 01:50:00,Doberman,7,149,199,2.2,-104.23,22.9ºC,Ansiedad
711,2025-06-12 01:51:00,Bull Terrier,5,160,82,32.49,68.25,20.7ºC,Confusión
712,2025-06-12 01:52:00,British Shorthair,11,144,175,77.71,135.83,29.2ºC,Tristeza
713,2025-06-12 01:53:00,American Shorthair,13,121,171,21.67,-75.47,23.9ºC,Enfadado
714,2025-06-12 01:54:00,British Shorthair,19,108,187,54.68,-150.48,25.6ºC,Ansiedad
715,2025-06-12 01:55:00,Pastor Alemán,10,154,164,-74.93,-72.54,26.8ºC,Tranquilo
716,2025-06-12 01:56:00,British Shorthair,10,84,77,-20.53,62.05,22.5ºC,Tranquilo
717,2025-06-12 01:57:00,Doberman,11,82,60,-22.69,-61.65,26.6ºC,Tristeza
718,2025-06-12 01:58:00,Doberman,7,83,96,69.53,-79.88,26.1ºC,Confusión
719,2025-06-12 01:59:00,Ragdoll,18,97,176,-62.75,-113.6,26.5ºC,Ansiedad
720,2025-06-12 02:00:00,Poodle,4,87,196,-62.66,-0.89,23.9ºC,Ansiedad
721,2025-06-12 02:01:00,American Shorthair,2,80,167,-30.86,-80.66,22.6ºC,Confusión
722,2025-06-12 02:02:00,Weimaraner,14,113,192,-80.2,83.16,20.7ºC,Confusión
723,2025-06-12 02:03:00,Gran Danés,13,166,175,-57.16,-152.42,27.9ºC,Confusión
724,2025-06-12 02:04:00,Siamés,12,77,121,83.74,59.05,25.3ºC,Tranquilo
725,2025-06-12 02:05:00,Galgo,7,95,156,-12.93,-94.48,23.3ºC,Tristeza
726,2025-06-12 02:06:00,Doberman,2,158,186,23.76,-3.86,29.3ºC,Enfadado
727,2025-06-12 02:07:00,Yorkshire Terrier,13,104,82,40.7,-77.01,18.6ºC,Miedo
728,2025-06-12 02:08:00,Husky,14,178,68,-23.95,80.2,28.2ºC,Confusión
729,2025-06-12 02:09:00,Weimaraner,17,132,123,-63.5,160.31,30.0ºC,Tristeza
730,2025-06-12 02:10:00,Collie,9,112,147,-52.82,150.15,28.6ºC,Alerta
731,2025-06-12 02:11:00,Weimaraner,17,161,190,-33.61,30.03,27.7ºC,Ansiedad
732,2025-06-12 02:12:00,Maltés,8,89,178,24.49,-13.46,22.5ºC,Ansiedad
733,2025-06-12 02:13:00,Cornish Rex,2,119,142,-18.31,114.59,20.8ºC,Miedo
734,2025-06-12 02:14:00,Pastor Alemán,13,167,97,-88.77,66.0,26.8ºC,Miedo
735,2025-06-12 02:15:00,Persa,3,157,113,4.21,-113.92,21.7ºC,Relajación
736,2025-06-12 02:16:00,Whippet,16,91,110,75.87,115.53,20.1ºC,Alerta
737,2025-06-12 02:17:00,Dachshund,6,126,88,56.17,-25.6,27.4ºC,Enfadado
738,2025-06-12 02:18:00,Australian Shepherd,19,126,177,58.54,-111.97,21.8ºC,Miedo
739,2025-06-12 02:19:00,Collie,7,87,137,53.11,-78.55,29.0ºC,Confusión
740,2025-06-12 02:20:00,Labrador,10,103,75,-31.73,-83.69,28.1ºC,Confusión
741,2025-06-12 02:21:00,Cornish Rex,9,138,66,47.73,6.91,28.2ºC,Enfadado
742,2025-06-12 02:22:00,Bengala,2,100,120,-64.23,-95.63,27.3ºC,Tranquilo
743,2025-06-12 02:23:00,Pit Bull,15,122,62,28.39,-135.52,28.6ºC,Alerta
744,2025-06-12 02:24:00,Gran Danés,5,82,118,25.48,-135.47,27.7ºC,Confusión
745,2025-06-12 02:25:00,Cavalier King Charles,4,163,75,-85.4,29.98,25.2ºC,Miedo
746,2025-06-12 02:26:00,Collie,4,134,98,51.83,84.51,21.5ºC,Relajación
747,2025-06-12 02:27:00,Pit Bull,18,107,56,72.58,-64.25,28.7ºC,Tristeza
748,2025-06-12 02:28:00,Maine Coon,4,91,107,-41.87,-167.53,28.1ºC,Ansiedad
749,2025-06-12 02:29:00,Bull Terrier,17,116,98,56.23,-134.2,23.7ºC,Alerta
750,2025-06-12 02:30:00,Oriental,12,177,152,-75.17,149.29,18.5ºC,Ansiedad
751,2025-06-12 02:31:00,Abyssinian,17,159,102,17.99,-2.32,25.7ºC,Tristeza
752,2025-06-12 02:32:00,Galgo,10,92,111,-2.58,-16.71,18.6ºC,Alerta
753,2025-06-12 02:33:00,Husky,1,83,66,8.27,-166.3,29.1ºC,Miedo
754,2025-06-12 02:34:00,Bull Terrier,18,98,74,76.72,82.31,29.5ºC,Tristeza
755,2025-06-12 02:35:00,Galgo,18,93,180,66.84,10.1,20.3ºC,Confusión
756,2025-06-12 02:36:00,Oriental,14,115,78,51.32,-107.25,26.1ºC,Enfadado
757,2025-06-12 02:37:00,Weimaraner,15,87,166,-40.73,-140.37,19.1ºC,Confusión
758,2025-06-12 02:38:00,Scottish Fold,12,96,75,74.13,-41.98,26.8ºC,Miedo
759,2025-06-12 02:39:00,Shiba Inu,4,66,173,-72.45,121.38,22.2ºC,Enfadado
760,2025-06-12 02:40:00,Gran Danés,3,127,193,63.6,131.51,26.2ºC,Confusión
761,2025-06-12 02:41:00,Akita,12,96,74,-30.93,37.02,22.5ºC,Tristeza
762,2025-06-12 02:42:00,Golden Retriever,7,115,103,-80.32,81.91,19.7ºC,Tristeza
763,2025-06-12 02:43:00,Dálmata,11,124,122,30.48,-138.54,22.9ºC,Tristeza
764,2025-06-12 02:44:00,Akita,1,124,169,-48.37,31.73,19.4ºC,Ansiedad
765,2025-06-12 02:45:00,Siamés,6,106,105,-46.16,60.11,24.9ºC,Miedo
766,2025-06-12 02:46:00,Cornish Rex,15,79,114,-34.91,-107.74,18.5ºC,Tristeza
767,2025-06-12 02:47:00,Ragdoll,15,78,142,-78.54,136.86,24.3ºC,Confusión
768,2025-06-12 02:48:00,Shih Tzu,19,88,135,-58.12,-109.8,28.6ºC,Relajación
769,2025-06-12 02:49:00,Chihuahua,11,133,129,-89.07,-67.15,28.1ºC,Miedo
770,2025-06-12 02:50:00,Poodle,2,119,157,-9.83,43.4,28.6ºC,Tristeza
771,2025-06-12 02:51:00,Birmano,14,77,167,-74.83,49.81,29.1ºC,Relajación
772,2025-06-12 02:52:00,Cocker Spaniel,2,151,132,32.88,71.78,19.3ºC,Enfadado
773,2025-06-12 02:53:00,Border Collie,4,94,196,-47.59,-139.68,19.5ºC,Confusión
774,2025-06-12 02:54:00,Beagle,17,102,64,79.84,125.81,24.7ºC,Tristeza
775,2025-06-12 02:55:00,Scottish Fold,3,170,180,66.83,11.82,28.7ºC,Ansiedad
776,2025-06-12 02:56:00,Pit Bull,13,154,188,-37.9,-10.32,29.7ºC,Ansiedad
777,2025-06-12 02:57:00,Husky,9,150,79,50.98,173.2,18.6ºC,Enfadado
778,2025-06-12 02:58:00,Bengala,7,70,106,54.58,86.54,22.3ºC,Relajación
779,2025-06-12 02:59:00,British Shorthair,15,108,195,87.58,-137.52,20.6ºC,Tranquilo
780,2025-06-12 03:00:00,Doberman,11,172,177,17.61,92.35,27.1ºC,Ansiedad
781,2025-06-12 03:01:00,Siamés,2,97,97,-75.25,-145.71,25.7ºC,Miedo
782,2025-06-12 03:02:00,Bengala,15,123,185,26.43,-170.11,19.4ºC,Ansiedad
783,2025-06-12 03:03:00,Setter Irlandés,14,128,71,22.5,-34.69,23.8ºC,Ansiedad
784,2025-06-12 03:04:00,Dachshund,11,67,55,24.9,177.69,26.2ºC,Confusión
785,2025-06-12 03:05:00,American Shorthair,3,93,153,-34.71,-117.04,27.3ºC,Ansiedad
786,2025-06-12 03:06:00,Weimaraner,17,107,85,64.74,62.15,18.2ºC,Alerta
787,2025-06-12 03:07:00,Cavalier King Charles,12,175,128,82.7,-117.58,28.7ºC,Tristeza
788,2025-06-12 03:08:00,Shiba Inu,15,115,165,-50.81,80.92,24.8ºC,Enfadado
789,2025-06-12 03:09:00,Beagle,16,135,106,-74.13,1.93,27.7ºC,Ansiedad
790,2025-06-12 03:10:00,Galgo,5,161,98,-54.98,64.79,27.7ºC,Tranquilo
791,2025-06-12 03:11:00,Bengala,6,124,131,57.7,-106.97,20.3ºC,Miedo
792,2025-06-12 03:12:00,Pit Bull,19,90,115,31.8,88.43,19.3ºC,Tranquilo
793,2025-06-12 03:13:00,Bull Terrier,5,63,126,24.49,178.42,26.7ºC,Ansiedad
794,2025-06-12 03:14:00,Oriental,3,172,94,-17.68,59.63,19.9ºC,Ansiedad
795,2025-06-12 03:15:00,Whippet,1,168,128,14.01,-2.35,28.2ºC,Alerta
796,2025-06-12 03:16:00,Gran Danés,6,109,69,-34.58,152.34,26.7ºC,Ansiedad
797,2025-06-12 03:17:00,Whippet,15,128,172,-4.1,-174.29,28.1ºC,Ansiedad
798,2025-06-12 03:18:00,Cornish Rex,2,89,116,52.75,82.77,21.6ºC,Tristeza
799,2025-06-12 03:19:00,British Shorthair,3,179,132,86.62,139.95,21.8ºC,Tranquilo
800,2025-06-12 03:20:00,Boxer,17,147,52,77.85,-157.8,26.1ºC,Alerta
801,2025-06-12 03:21:00,Abyssinian,12,118,113,78.1,-17.98,18.4ºC,Tranquilo
802,2025-06-12 03:22:00,Persa,18,126,89,-17.6,-106.3,26.7ºC,Alerta
803,2025-06-12 03:23:00,Akita,15,134,108,-5.62,23.95,28.0ºC,Tranquilo
804,2025-06-12 03:24:00,Oriental,12,104,111,37.01,53.84,23.0ºC,Ansiedad
805,2025-06-12 03:25:00,Beagle,16,63,181,75.99,-71.06,27.2ºC,Tranquilo
806,2025-06-12 03:26:00,Bengala,8,85,109,-64.44,-14.41,20.1ºC,Tranquilo
807,2025-06-12 03:27:00,Shih Tzu,14,86,165,-35.24,-79.44,21.9ºC,Alerta
808,2025-06-12 03:28:00,Beagle,17,105,124,-64.94,-47.02,29.7ºC,Enfadado
809,2025-06-12 03:29:00,Shih Tzu,8,177,171,20.16,-122.57,29.8ºC,Relajación
810,2025-06-12 03:30:00,Maine Coon,15,166,156,-34.87,138.8,24.2ºC,Alerta
811,2025-06-12 03:31:00,Dálmata,14,123,145,-31.3,-176.4,29.2ºC,Alerta
812,2025-06-12 03:32:00,Boston Terrier,18,150,140,-77.24,137.67,24.3ºC,Alerta
813,2025-06-12 03:33:00,Dálmata,7,165,179,-27.04,25.8,21.5ºC,Confusión
814,2025-06-12 03:34:00,Doberman,3,110,111,65.25,-60.6,21.2ºC,Enfadado
815,2025-06-12 03:35:00,Beagle,12,109,98,-48.05,80.3,29.2ºC,Confusión
816,2025-06-12 03:36:00,Pit Bull,3,65,186,35.13,2.79,20.1ºC,Confusión
817,2025-06-12 03:37:00,Shiba Inu,14,118,141,23.33,-0.32,25.0ºC,Alerta
818,2025-06-12 03:38:00,Abyssinian,15,74,173,65.43,-140.35,24.7ºC,Relajación
819,2025-06-12 03:39:00,Gran Danés,14,176,110,-66.19,-39.77,26.9ºC,Alerta
820,2025-06-12 03:40:00,Maltés,7,89,97,85.97,-93.22,24.0ºC,Ansiedad
821,2025-06-12 03:41:00,Gran Danés,17,101,185,14.87,-174.35,21.3ºC,Relajación
822,2025-06-12 03:42:00,Manx,12,160,107,89.19,-50.36,20.0ºC,Confusión
823,2025-06-12 03:43:00,Sphynx,4,96,150,74.07,-147.66,25.4ºC,Miedo
824,2025-06-12 03:44:00,Bengala,9,101,161,-50.13,-87.54,26.6ºC,Tranquilo
825,2025-06-12 03:45:00,Oriental,6,160,111,-79.89,-146.69,24.8ºC,Tranquilo
826,2025-06-12 03:46:00,Boxer,16,94,88,-43.98,-143.66,26.9ºC,Enfadado
827,2025-06-12 03:47:00,Scottish Fold,2,146,107,4.96,-108.36,19.7ºC,Miedo
828,2025-06-12 03:48:00,Bull Terrier,8,65,148,-59.11,179.95,28.6ºC,Tristeza
829,2025-06-12 03:49:00,Pastor Alemán,11,127,93,-59.86,-179.21,25.0ºC,Enfadado
830,2025-06-12 03:50:00,Gran Danés,13,77,78,-6.73,49.92,19.5ºC,Relajación
831,2025-06-12 03:51:00,Bengala,17,132,108,-84.01,-129.15,23.5ºC,Confusión
832,2025-06-12 03:52:00,Setter Irlandés,8,172,120,-68.06,151.43,28.1ºC,Relajación
833,2025-06-12 03:53:00,Labrador,18,88,141,-15.14,-146.29,28.8ºC,Relajación
834,2025-06-12 03:54:00,Labrador,18,136,58,-78.64,163.82,21.2ºC,Tranquilo
835,2025-06-12 03:55:00,Boston Terrier,14,118,176,-18.58,39.93,26.5ºC,Alerta
836,2025-06-12 03:56:00,Cocker Spaniel,15,106,183,-4.68,-179.54,19.2ºC,Ansiedad
837,2025-06-12 03:57:00,Persa,6,175,194,-8.77,141.84,18.4ºC,Tristeza
838,2025-06-12 03:58:00,Persa,11,76,193,66.45,7.82,24.7ºC,Confusión
839,2025-06-12 03:59:00,Rottweiler,13,168,180,5.41,-85.44,26.3ºC,Relajación
840,2025-06-12 04:00:00,Boxer,1,155,70,-5.76,96.22,27.5ºC,Tristeza
841,2025-06-12 04:01:00,Siberiano,6,171,113,-16.07,153.6,22.1ºC,Relajación
842,2025-06-12 04:02:00,Siberiano,9,81,139,57.17,-5.87,18.1ºC,Miedo
843,2025-06-12 04:03:00,Australian Shepherd,8,127,85,71.11,-66.4,23.8ºC,Tranquilo
844,2025-06-12 04:04:00,Sphynx,11,128,111,63.58,104.02,18.2ºC,Ansiedad
845,2025-06-12 04:05:00,Cocker Spaniel,19,96,125,31.24,65.44,19.1ºC,Tranquilo
846,2025-06-12 04:06:00,Gran Danés,9,164,62,-65.27,139.95,21.9ºC,Tristeza
847,2025-06-12 04:07:00,Ragdoll,17,108,60,-40.16,69.31,23.2ºC,Confusión
848,2025-06-12 04:08:00,Terranova,12,72,103,-81.71,-92.33,21.4ºC,Relajación
849,2025-06-12 04:09:00,Gran Danés,14,93,65,77.55,155.4,25.0ºC,Ansiedad
850,2025-06-12 04:10:00,Dachshund,15,168,57,28.94,-142.26,18.7ºC,Miedo
851,2025-06-12 04:11:00,Bengala,16,145,153,44.35,-83.54,19.7ºC,Tranquilo
852,2025-06-12 04:12:00,Galgo,1,112,108,-33.92,7.27,26.3ºC,Miedo
853,2025-06-12 04:13:00,Maltés,10,146,106,62.22,23.67,19.7ºC,Tristeza
854,2025-06-12 04:14:00,Beagle,8,110,89,-43.27,-174.49,25.7ºC,Tranquilo
855,2025-06-12 04:15:00,British Shorthair,18,62,179,-89.7,101.01,18.7ºC,Relajación
856,2025-06-12 04:16:00,Pastor Alemán,1,101,143,-22.25,-49.82,22.9ºC,Relajación
857,2025-06-12 04:17:00,Yorkshire Terrier,2,157,187,12.74,-33.69,20.1ºC,Miedo
858,2025-06-12 04:18:00,Ragdoll,1,91,93,-3.83,111.37,19.3ºC,Confusión
859,2025-06-12 04:19:00,Cocker Spaniel,1,168,188,65.17,-43.46,24.8ºC,Ansiedad
860,2025-06-12 04:20:00,Maine Coon,9,110,129,-71.03,-163.0,29.1ºC,Alerta
861,2025-06-12 04:21:00,Boston Terrier,13,172,130,9.69,-116.48,18.7ºC,Tranquilo
862,2025-06-12 04:22:00,Collie,1,144,51,2.34,164.13,23.1ºC,Relajación
863,2025-06-12 04:23:00,Beagle,13,105,189,-39.35,-154.65,26.5ºC,Tristeza
864,2025-06-12 04:24:00,Shiba Inu,7,167,164,58.0,-52.22,23.6ºC,Tranquilo
865,2025-06-12 04:25:00,American Shorthair,2,80,139,45.51,1.14,27.7ºC,Confusión
866,2025-06-12 04:26:00,Whippet,6,103,72,41.91,-2.42,20.2ºC,Confusión
867,2025-06-12 04:27:00,Maine Coon,7,70,195,67.71,-178.57,29.5ºC,Relajación
868,2025-06-12 04:28:00,British Shorthair,14,162,111,40.1,0.42,22.6ºC,Relajación
869,2025-06-12 04:29:00,Boston Terrier,18,127,162,-48.27,-41.84,22.1ºC,Miedo
870,2025-06-12 04:30:00,Birmano,15,174,177,37.0,169.95,28.5ºC,Relajación
871,2025-06-12 04:31:00,Beagle,2,60,111,-34.61,-122.7,24.8ºC,Miedo
872,2025-06-12 04:32:00,Gran Danés,10,151,87,-46.41,-52.5,24.2ºC,Enfadado
873,2025-06-12 04:33:00,Sphynx,12,122,110,-76.86,-28.99,26.7ºC,Alerta
874,2025-06-12 04:34:00,Weimaraner,17,83,178,43.93,-39.35,25.0ºC,Relajación
875,2025-06-12 04:35:00,Poodle,8,158,198,37.98,59.7,20.0ºC,Tranquilo
876,2025-06-12 04:36:00,Gran Danés,11,72,171,-47.79,-102.42,26.1ºC,Tranquilo
877,2025-06-12 04:37:00,Bull Terrier,3,170,159,44.89,-100.41,19.6ºC,Miedo
878,2025-06-12 04:38:00,Dálmata,6,157,62,75.21,82.52,27.7ºC,Enfadado
879,2025-06-12 04:39:00,Shih Tzu,9,70,149,-70.55,0.1,29.9ºC,Enfadado
880,2025-06-12 04:40:00,Border Collie,6,159,184,-48.13,-30.54,22.5ºC,Ansiedad
881,2025-06-12 04:41:00,Birmano,9,110,71,45.05,-119.09,23.3ºC,Tristeza
882,2025-06-12 04:42:00,Bull Terrier,7,76,123,-40.59,-112.49,18.6ºC,Relajación
883,2025-06-12 04:43:00,Akita,9,158,181,22.44,-176.2,18.2ºC,Miedo
884,2025-06-12 04:44:00,Boston Terrier,18,141,72,-75.39,-147.09,29.1ºC,Tranquilo
885,2025-06-12 04:45:00,Whippet,12,163,168,-8.6,20.46,19.5ºC,Enfadado
886,2025-06-12 04:46:00,Chihuahua,8,145,119,43.04,141.07,23.3ºC,Tranquilo
887,2025-06-12 04:47:00,Weimaraner,8,83,133,33.57,-76.62,27.8ºC,Tranquilo
888,2025-06-12 04:48:00,Terranova,18,78,150,56.71,-62.01,28.7ºC,Enfadado
889,2025-06-12 04:49:00,Labrador,15,96,133,67.94,-138.38,24.2ºC,Alerta
890,2025-06-12 04:50:00,Poodle,7,162,77,49.17,-40.09,24.8ºC,Enfadado
891,2025-06-12 04:51:00,Doberman,11,144,185,30.89,-166.6,26.0ºC,Enfadado
892,2025-06-12 04:52:00,Siberiano,16,67,50,-84.29,150.34,29.5ºC,Tristeza
893,2025-06-12 04:53:00,Border Collie,4,87,112,6.29,62.32,25.2ºC,Miedo
894,2025-06-12 04:54:00,Doberman,6,64,71,-83.21,176.67,24.7ºC,Miedo
895,2025-06-12 04:55:00,Husky,3,76,119,55.45,137.82,18.2ºC,Enfadado
896,2025-06-12 04:56:00,Pastor Alemán,9,160,174,-32.27,-9.72,19.0ºC,Confusión
897,2025-06-12 04:57:00,Akita,10,95,198,11.24,7.09,24.9ºC,Miedo
898,2025-06-12 04:58:00,Gran Danés,14,177,145,-39.7,-111.39,29.2ºC,Miedo
899,2025-06-12 04:59:00,Cavalier King Charles,11,78,128,50.85,-13.67,28.4ºC,Miedo
900,2025-06-12 05:00:00,Bulldog,18,123,54,69.57,145.09,29.8ºC,Enfadado
901,2025-06-12 05:01:00,Bengala,12,150,109,-18.24,-161.69,24.3ºC,Tranquilo
902,2025-06-12 05:02:00,Golden Retriever,12,176,169,65.33,130.88,27.5ºC,Relajación
903,2025-06-12 05:03:00,Maine Coon,13,157,95,-41.93,-57.26,28.1ºC,Tranquilo
904,2025-06-12 05:04:00,Border Collie,13,70,183,6.24,143.82,25.8ºC,Tristeza
905,2025-06-12 05:05:00,Husky,19,113,105,64.58,158.72,22.1ºC,Confusión
906,2025-06-12 05:06:00,Beagle,19,104,159,-31.34,61.51,23.6ºC,Enfadado
907,2025-06-12 05:07:00,Chihuahua,14,106,153,81.73,59.19,28.3ºC,Alerta
908,2025-06-12 05:08:00,Shih Tzu,4,71,126,-68.06,-17.01,21.6ºC,Ansiedad
909,2025-06-12 05:09:00,Whippet,13,177,195,-86.71,120.79,29.1ºC,Enfadado
910,2025-06-12 05:10:00,Caniche,8,80,51,72.74,166.18,20.8ºC,Relajación
911,2025-06-12 05:11:00,Scottish Fold,19,177,57,-77.64,99.03,27.0ºC,Ansiedad
912,2025-06-12 05:12:00,Abyssinian,12,70,124,88.54,43.9,25.6ºC,Alerta
913,2025-06-12 05:13:00,Rottweiler,18,162,174,81.25,38.45,27.0ºC,Tristeza
914,2025-06-12 05:14:00,Oriental,6,151,87,-65.34,125.81,23.2ºC,Tristeza
915,2025-06-12 05:15:00,Siamés,18,64,76,6.77,14.83,29.2ºC,Alerta
916,2025-06-12 05:16:00,Boxer,19,140,69,-56.71,109.39,25.6ºC,Tranquilo
917,2025-06-12 05:17:00,Boston Terrier,5,115,189,-12.93,3.2,21.5ºC,Alerta
918,2025-06-12 05:18:00,Pit Bull,9,79,92,-78.94,-157.52,25.7ºC,Miedo
919,2025-06-12 05:19:00,Manx,3,100,80,-49.69,-41.78,21.4ºC,Miedo
920,2025-06-12 05:20:00,Setter Irlandés,10,105,140,-24.61,-20.0,21.5ºC,Enfadado
921,2025-06-12 05:21:00,Poodle,19,71,110,-11.04,-129.02,22.8ºC,Relajación
922,2025-06-12 05:22:00,Pug,3,129,158,85.95,-143.1,28.2ºC,Miedo
923,2025-06-12 05:23:00,Ragdoll,15,76,140,55.42,12.77,24.0ºC,Confusión
924,2025-06-12 05:24:00,Australian Shepherd,1,174,144,42.73,-149.35,26.1ºC,Enfadado
925,2025-06-12 05:25:00,Doberman,7,78,192,6.67,-70.94,22.7ºC,Enfadado
926,2025-06-12 05:26:00,Weimaraner,12,85,193,61.2,88.05,21.2ºC,Enfadado
927,2025-06-12 05:27:00,Poodle,17,107,62,-28.92,167.2,29.5ºC,Ansiedad
928,2025-06-12 05:28:00,Labrador,5,167,162,37.6,78.43,25.2ºC,Ansiedad
929,2025-06-12 05:29:00,Shih Tzu,4,167,84,88.88,177.35,29.2ºC,Tristeza
930,2025-06-12 05:30:00,Labrador,12,111,198,-33.37,71.4,20.4ºC,Enfadado
931,2025-06-12 05:31:00,Labrador,18,155,97,31.32,-74.23,19.8ºC,Tranquilo
932,2025-06-12 05:32:00,British Shorthair,17,129,84,61.98,61.94,28.3ºC,Miedo
933,2025-06-12 05:33:00,Border Collie,19,114,135,74.85,72.78,26.2ºC,Tristeza
934,2025-06-12 05:34:00,Collie,9,159,163,39.23,-46.18,20.2ºC,Relajación
935,2025-06-12 05:35:00,Pug,4,161,149,-38.95,-173.62,21.2ºC,Alerta
936,2025-06-12 05:36:00,Bulldog,2,134,148,-31.27,73.15,27.6ºC,Ansiedad
937,2025-06-12 05:37:00,American Shorthair,4,92,52,-86.26,-172.19,23.4ºC,Enfadado
938,2025-06-12 05:38:00,Gran Danés,2,121,134,46.96,47.23,26.0ºC,Relajación
939,2025-06-12 05:39:00,Boxer,15,147,174,-82.31,-121.1,21.8ºC,Tristeza
940,2025-06-12 05:40:00,Yorkshire Terrier,2,82,187,65.64,23.62,22.6ºC,Tristeza
941,2025-06-12 05:41:00,Yorkshire Terrier,4,74,132,-68.64,1.41,29.9ºC,Ansiedad
942,2025-06-12 05:42:00,Dachshund,6,86,74,-59.06,-175.14,21.0ºC,Tristeza
943,2025-06-12 05:43:00,Golden Retriever,7,134,117,-4.23,-49.37,24.1ºC,Tranquilo
944,2025-06-12 05:44:00,Maltés,10,123,110,42.82,36.39,28.1ºC,Tristeza
945,2025-06-12 05:45:00,Collie,19,174,78,-64.98,125.5,20.9ºC,Confusión
946,2025-06-12 05:46:00,Rottweiler,19,173,176,-10.79,139.91,23.0ºC,Miedo
947,2025-06-12 05:47:00,Weimaraner,12,140,68,-3.09,-5.81,25.4ºC,Alerta
948,2025-06-12 05:48:00,Cocker Spaniel,3,110,123,-51.79,82.23,23.8ºC,Tristeza
949,2025-06-12 05:49:00,Terranova,13,112,110,-69.2,-66.08,23.5ºC,Miedo
950,2025-06-12 05:50:00,Beagle,18,137,69,60.56,-56.81,22.4ºC,Miedo
951,2025-06-12 05:51:00,Akita,8,150,97,0.44,-109.99,25.0ºC,Confusión
952,2025-06-12 05:52:00,Pit Bull,15,141,136,-87.41,22.3,25.5ºC,Relajación
953,2025-06-12 05:53:00,Caniche,1,151,188,54.54,-66.76,25.8ºC,Tristeza
954,2025-06-12 05:54:00,Chihuahua,3,110,159,86.54,-149.63,18.8ºC,Tranquilo
955,2025-06-12 05:55:00,Border Collie,8,106,77,19.07,66.6,25.6ºC,Relajación
956,2025-06-12 05:56:00,Cocker Spaniel,4,170,108,0.67,74.79,29.4ºC,Miedo
957,2025-06-12 05:57:00,Galgo,16,63,182,68.11,-50.4,24.5ºC,Miedo
958,2025-06-12 05:58:00,Pastor Alemán,10,66,100,81.45,-152.38,26.6ºC,Enfadado
959,2025-06-12 05:59:00,Galgo,12,168,198,45.82,-26.53,24.7ºC,Tristeza
960,2025-06-12 06:00:00,Ragdoll,14,94,61,-9.82,-20.76,28.3ºC,Ansiedad
961,2025-06-12 06:01:00,Husky,14,107,99,16.6,60.72,29.2ºC,Confusión
962,2025-06-12 06:02:00,American Shorthair,2,132,181,36.17,-66.45,20.2ºC,Confusión
963,2025-06-12 06:03:00,Husky,5,131,162,-55.03,65.74,23.2ºC,Ansiedad
964,2025-06-12 06:04:00,Poodle,5,175,63,-9.5,133.74,22.7ºC,Alerta
965,2025-06-12 06:05:00,Cavalier King Charles,6,104,81,59.37,-94.51,22.9ºC,Miedo
966,2025-06-12 06:06:00,Setter Irlandés,13,140,188,27.85,172.41,19.5ºC,Enfadado
967,2025-06-12 06:07:00,Siamés,9,140,195,-15.98,-40.91,27.8ºC,Tranquilo
968,2025-06-12 06:08:00,Siamés,15,172,104,29.41,-83.79,18.4ºC,Confusión
969,2025-06-12 06:09:00,Terranova,14,156,169,-68.72,-28.26,24.3ºC,Relajación
970,2025-06-12 06:10:00,Australian Shepherd,7,155,124,-17.73,-146.02,25.9ºC,Miedo
971,2025-06-12 06:11:00,Weimaraner,2,131,70,52.76,-134.75,20.5ºC,Tranquilo
972,2025-06-12 06:12:00,Bengala,7,78,182,-50.31,-30.8,28.9ºC,Confusión
973,2025-06-12 06:13:00,Shih Tzu,6,122,136,-56.53,94.48,28.1ºC,Enfadado
